location_code,PSC_Code,FisheryID,FisheryName,Gear
2F 29FWCVSLES CK,2F 29FW,169,Fraser Spt,4
2MN25H02W,2MN25,187,No BC  Spt,4
2MN25P004,2MN25,187,No BC  Spt,4
2MN26P006,2MN26P006,188,Cen BC Spt,4
2MS22P015,2MS22,192,SGaStr Spt,4
2MS24P020,2MS24,189,BC JDF Spt,4
3F10107  010120 H02,3F10107  010120,99,Nook R Spt,4
3F10107  010120 H04,3F10107  010120,99,Nook R Spt,4
5M2220201O0201  11,5M2220201,34,A1-Ast Trl,1
3F10107  010120 R12,3F10107  010120 R,98,Nook R Net,2
3F10107  010120 R12,3F10107  010120,99,Nook R Spt,4
3F10107  010120 R22,3F10107  010120 R,98,Nook R Net,2
3F10107  010120 R22,3F10107  010120,99,Nook R Spt,4
3F10107  010120 R24,3F10107  010120 R,98,Nook R Net,2
3F10107  010120 R24,3F10107  010120,99,Nook R Spt,4
2MS27M401,2MS27,190,WC VI  Spt,4
3F10107  010120 R55,3F10107  010120 R,98,Nook R Net,2
3F10107  010120 R55,3F10107  010120,99,Nook R Spt,4
3F10208  031648 R,3F102,103,Skag R Net,2
3F10107  010566 R,3F10107  010566 R,100,Samh R Spt,4
3F10208  030177 R,3F102,103,Skag R Net,2
3F10107  030005 R,3F10107  030005,100,Samh R Spt,4
2F 29FWSWKALU RI,2F 29FW,169,Fraser Spt,4
3F10107  030005 R16,3F10107  030005,100,Samh R Spt,4
3F102,3F102,103,Skag R Net,2
3F10208  03     R02,3F102,103,Skag R Net,2
3F10107  030005 R71,3F10107  030005,100,Samh R Spt,4
3F10208  030121 R,3F102,103,Skag R Net,2
3F10208  030131 R,3F102,103,Skag R Net,2
3F10208  030154 R,3F102,103,Skag R Net,2
3F10208  030176 R55,3F102,103,Skag R Net,2
3F10208  030176 R55,3F10208  030176,108,Skag R Spt,4
3F10208  030176 R71,3F102,103,Skag R Net,2
3F10208  030176 R71,3F10208  030176,108,Skag R Spt,4
3F10208  030176 R72,3F102,103,Skag R Net,2
3F10208  030176 R72,3F10208  030176,108,Skag R Spt,4
3F10208  030176 S01,3F102,103,Skag R Net,2
3F10208  030176 S01,3F10208  030176,108,Skag R Spt,4
3F10208  030176KR,3F102,103,Skag R Net,2
3F10208  030176KR,3F10208  030176,108,Skag R Spt,4
3F10208  030176 R,3F102,103,Skag R Net,2
3F10208  030176 R,3F10208  030176,108,Skag R Spt,4
3F10208  030179 R,3F102,103,Skag R Net,2
3F10208  030204 R,3F102,103,Skag R Net,2
3F10208  030220 R,3F102,103,Skag R Net,2
3F10208  030221 R,3F102,103,Skag R Net,2
3F10208  030224 R,3F102,103,Skag R Net,2
3F10208  030227 R01,3F102,103,Skag R Net,2
3F10208  030227 R02,3F102,103,Skag R Net,2
3F10208  030232 R,3F102,103,Skag R Net,2
3F10208  030235 R,3F102,103,Skag R Net,2
3F10208  030215 R,3F102,103,Skag R Net,2
3F10208  030239 R,3F102,103,Skag R Net,2
3F10208  030278 R,3F102,103,Skag R Net,2
3F10208  030260 R,3F102,103,Skag R Net,2
3F10208  030267 R,3F102,103,Skag R Net,2
3F10208  030280 R,3F102,103,Skag R Net,2
3F10208  030280AR,3F102,103,Skag R Net,2
3F10208  030280BR,3F102,103,Skag R Net,2
3F10208  030281 R,3F102,103,Skag R Net,2
3F10208  030287 R,3F102,103,Skag R Net,2
3F10208  030291 R,3F102,103,Skag R Net,2
3F10208  030292 R,3F102,103,Skag R Net,2
3F10208  030372 R,3F102,103,Skag R Net,2
3F10208  030435 H,3F102,103,Skag R Net,2
3F10208  030435 H03,3F102,103,Skag R Net,2
3F10208  030435 H04,3F102,103,Skag R Net,2
3F10208  030435 R01,3F102,103,Skag R Net,2
3F10208  030491 R,3F102,103,Skag R Net,2
3F10208  030435 R21,3F102,103,Skag R Net,2
3F10208  030488 H,3F102,103,Skag R Net,2
3F10208  030359 R,3F102,103,Skag R Net,2
3F10208  030496 R,3F102,103,Skag R Net,2
3F10208  030498 R,3F102,103,Skag R Net,2
3F10208  030498AR,3F102,103,Skag R Net,2
3F10208  030498BR,3F102,103,Skag R Net,2
3F10208  030540 R,3F102,103,Skag R Net,2
3F10208  030542 R,3F102,103,Skag R Net,2
3F10208  030555AR,3F102,103,Skag R Net,2
3F10208  030559 R,3F102,103,Skag R Net,2
3F10208  030560 R,3F102,103,Skag R Net,2
3F10208  030562 R,3F102,103,Skag R Net,2
3F10208  030509 R,3F102,103,Skag R Net,2
3F10208  030518 R,3F102,103,Skag R Net,2
3F10208  030563 R,3F102,103,Skag R Net,2
3F10208  030564 R,3F102,103,Skag R Net,2
3F10208  030566 R,3F102,103,Skag R Net,2
3F10208  030574 R,3F102,103,Skag R Net,2
3F10208  030580 R,3F102,103,Skag R Net,2
3F10208  030590 R,3F102,103,Skag R Net,2
3F10208  030673 S02,3F102,103,Skag R Net,2
3F10208  030673BR,3F102,103,Skag R Net,2
3F10208  030673FR,3F102,103,Skag R Net,2
3F10208  030673GR,3F102,103,Skag R Net,2
3F10208  030435 R28,3F102,103,Skag R Net,2
3F10208  030673HR,3F102,103,Skag R Net,2
3F10208  030673TR,3F102,103,Skag R Net,2
3F10208  030673ZR71,3F102,103,Skag R Net,2
